StudentID,FYGPA,Sex,IPEDSrace,FYAid,HSClassRank,SATreading,SATmath,SATwriting,ACT,Major,Division
272,3.16,F,NR,35000-44999,NA,470,610,500,NA,BIOL,NatSci
273,3.68,M,NR,35000-44999,NA,520,690,600,NA,BIOL,NatSci
274,2.94,M,NR,0,NA,580,620,520,NA,ECON,SocSci
275,2.99,F,NR,25000-34999,NA,680,670,690,NA,ECON,SocSci
276,3.27,M,HI,0,NA,530,600,630,NA,PSYC,SocSci
277,3.75,M,WH,25000-34999,Top 5,NA,NA,NA,30,ENGL,Humanities
278,3.34,F,AS,35000-44999,1st decile,NA,NA,NA,30,ECON,SocSci
279,2.71,M,AS,25000-34999,Top 5,720,710,690,NA,ENGL,Humanities
280,3.79,F,AS,1-15000,NA,700,660,700,NA,HIST,Humanities
281,3.16,F,WH,35000-44999,4th decile,670,650,650,NA,MCST,Humanities
282,3.33,F,NR,25000-34999,NA,700,620,690,NA,BIOL,NatSci
283,3.84,F,WH,0,NA,660,610,660,26,PSYC,SocSci
284,3.32,F,AS,25000-34999,NA,NA,NA,NA,28,GEOG,SocSci
285,3.51,M,WH,0,2nd decile,NA,NA,NA,27,MSCS,NatSci
286,3.26,F,WH,0,NA,680,680,670,30,CLAS,Humanities
287,3.24,F,WH,0,NA,570,660,670,NA,GEOL,NatSci
288,3.6,F,WH,0,NA,NA,NA,NA,29,ENGL,Humanities
289,3.21,M,WH,0,4th decile,740,800,750,NA,PHIL,Humanities
290,3.83,F,WH,0,NA,680,760,750,31,PSYC,SocSci
291,3.42,F,WH,35000-44999,Top 5,650,660,760,31,RELI,Humanities
292,3.85,F,WH,15001-24999,NA,NA,NA,NA,28,GEOG,SocSci
293,3.54,F,MR,25000-34999,NA,750,580,690,NA,ENGL,Humanities
294,3.39,F,WH,0,NA,760,640,750,NA,ANTH,SocSci
295,2.48,F,AS,35000-44999,NA,NA,NA,NA,23,BIOL,NatSci
296,3.46,F,WH,0,1st decile,NA,NA,NA,31,GEOG,SocSci
297,3.91,M,WH,35000-44999,Top 5,760,720,760,33,SOCI,SocSci
298,3.82,F,WH,1-15000,NA,760,800,760,NA,ENGL,Humanities
299,3.25,M,WH,0,5th decile,740,680,730,32,HIST,Humanities
300,3.37,M,WH,1-15000,2nd decile,750,690,800,32,MUSI,Arts
301,3.76,F,WH,0,3rd decile,670,650,590,30,GEOG,SocSci
302,3.62,F,WH,0,2nd decile,680,800,710,33,BIOL,NatSci
303,3.61,F,NR,35000-44999,NA,620,710,700,NA,BIOL,NatSci
304,3.57,M,WH,35000-44999,2nd decile,NA,NA,NA,26,PHIL,Humanities
305,3.5,F,WH,0,1st decile,660,660,680,NA,INTL,SocSci
306,3.78,M,WH,0,2nd decile,660,670,670,31,MUSI,Arts
307,3.68,F,WH,0,NA,680,700,750,NA,GEOG,SocSci
308,2.9,M,HI,35000-44999,2nd decile,660,650,590,29,AMST,Humanities
309,3.83,F,WH,1-15000,NA,570,660,730,NA,CLAS,Humanities
310,3.8,M,WH,35000-44999,1st decile,740,650,760,NA,GEOG,SocSci
311,3.56,M,WH,25000-34999,Top 5,NA,NA,NA,31,MUSI,Arts
312,3.27,M,WH,0,2nd decile,630,700,650,32,MSCS,NatSci
313,3.68,F,NR,35000-44999,NA,680,680,650,NA,ECON,SocSci
314,3.8,M,NR,15001-24999,NA,650,710,650,NA,MSCS,NatSci
315,3.15,M,NR,35000-44999,NA,640,650,630,NA,MSCS,NatSci
316,3.68,F,NR,25000-34999,1st decile,680,800,740,NA,ECON,SocSci
317,3.34,F,BL,1-15000,NA,590,700,700,NA,MUSI,Arts
318,3.88,F,AS,35000-44999,1st decile,690,670,670,30,GEOG,SocSci
319,3.73,M,WH,1-15000,1st decile,NA,NA,NA,33,CHEM,NatSci
320,3.67,F,WH,25000-34999,1st decile,780,680,800,NA,ANTH,SocSci
321,3.42,M,WH,0,NA,590,600,720,NA,POLI,SocSci
322,3.36,M,NR,25000-34999,NA,640,770,650,NA,ECON,SocSci
323,2.88,F,WH,15001-24999,NA,730,650,720,NA,PHIL,Humanities
324,3.67,F,WH,0,NA,730,800,740,NA,MSCS,NatSci
325,3.58,F,WH,35000-44999,1st decile,NA,NA,NA,29,ENGL,Humanities
326,3.82,M,WH,35000-44999,NA,730,580,680,NA,ENGL,Humanities
327,3.88,F,WH,0,2nd decile,NA,NA,NA,29,FREN,Humanities
328,3.79,M,WH,0,1st decile,580,710,690,NA,MUSI,Arts
329,3.13,F,MR,15001-24999,3rd decile,NA,NA,NA,27,CLAS,Humanities
330,3.33,M,WH,0,3rd decile,710,690,750,NA,ENGL,Humanities
331,3.66,M,WH,15001-24999,2nd decile,800,740,740,NA,HIST,Humanities
332,3.21,F,WH,35000-44999,2nd decile,600,580,540,28,CHEM,NatSci
333,3.36,F,HI,35000-44999,NA,NA,NA,NA,28,ENVI,NatSci
334,3.57,F,MR,35000-44999,NA,740,620,660,NA,AMST,Humanities
335,3.1,M,WH,35000-44999,3rd decile,640,700,710,29,GEOG,SocSci
336,3.46,M,MR,35000-44999,NA,730,620,590,NA,POLI,SocSci
337,3.88,F,WH,25000-34999,Top 5,700,680,690,31,BIOL,NatSci
338,2.54,F,WH,25000-34999,2nd decile,760,720,660,34,HIST,Humanities
339,3.98,F,WH,1-15000,Top 5,730,660,740,NA,MUSI,Arts
340,3.52,F,WH,0,1st decile,720,800,760,33,PHYS,NatSci
341,3.6,F,WH,25000-34999,NA,800,670,800,NA,LING,SocSci
342,3.62,F,WH,35000-44999,Top 5,670,660,710,NA,THDA,Arts
343,3.7,F,WH,0,1st decile,NA,NA,NA,30,HIST,Humanities
344,3.37,M,WH,15001-24999,4th decile,800,640,700,NA,FREN,Humanities
